"p_ID","Default_Names","Dead_Code","Total_Blocks"
58021146,1,0,20
58024418,1,0,4
58026522,0,0,9
58041758,0,1,14
58115460,0,0,158
58151856,0,1,368
58214738,0,0,12
58335902,1,0,45
58368848,1,0,25
58376612,1,3,18
58386484,0,0,30
58398132,0,0,152
58398274,14,1,235
58458720,0,0,48
58467976,0,1,19
58566798,1,0,104
58595696,2,0,42
58599666,14,3,348
58640448,1,2,64
58673320,0,0,2579
58686876,1,0,28
58688012,0,0,9
58699690,0,0,2484
58887132,0,0,91
58922178,5,0,211
58928542,0,0,15
59024442,0,1,138
59029706,1,0,4
59032342,1,6,159
59067644,0,0,67
59100268,0,0,190
59171346,0,0,20
59190656,1,0,13
59191190,0,0,8
59197778,1,1,19
59221452,1,0,20
59239294,1,0,6
59290456,1,0,51
59291804,5,6,225
59388932,4,1,65
59403578,1,2,43
59467170,33,54,1350
59486588,1,0,16
59487116,0,0,9
59487640,1,0,8
59509914,1,1,55
59533586,3,0,23
59624168,1,0,20
59636656,1,0,40
59659828,0,0,29
59683304,34,54,1356
59743182,0,0,8
59889036,0,0,42
59935612,0,1,7
60002538,1,0,2
60034304,0,4,47
60058876,1,0,82
60063608,3,2,41
60068444,1,0,9
60074986,1,1,825
60082620,2,2,131
60122018,0,0,109
60122926,0,0,65
60145364,16,0,995
60204614,0,0,2
60225348,2,0,14
60229414,1,0,4
60234624,0,1,20
60295774,5,0,63
60338738,9,0,74
60440188,5,71,1586
60505632,5,3,230
60530658,0,0,289
60531878,1,0,10
60538568,0,2,229
60601472,1,1,24
60640752,7,19,246
60660644,2,0,8
60664714,0,0,1063
60703742,7,0,441
60709712,4,1,166
60771904,1,34,1236
60817948,0,0,4
60819578,0,0,9
60864856,0,0,4
60876876,1,0,4
60905034,0,0,153
60909718,0,16,3263
60916678,1,2,16
60948720,0,0,70
61068370,1,0,13
61099246,1,0,4
61101312,0,0,219
61103088,5,9,1196
61179410,1,0,12
61217620,1,0,5
61223046,1,2,30
61231694,0,0,46
61253490,0,0,18
61298472,0,1,48
61341624,6,2,275
61367188,6,5,545
61408310,7,20,191
61412810,0,0,35
61422754,0,0,2
61435682,3,0,33
61438162,0,0,392
61442058,1,0,188
61442068,0,0,179
61484518,6,3,89
61532642,0,0,7
61580118,2,2,59
61588702,1,7,55
61590618,0,0,77
61605534,0,0,37
61633772,0,2,48
61690732,0,0,36
61698128,0,1,74
61731232,1,1,403
61738156,0,1,30
61741688,0,0,14
61779758,1,0,5
61789996,1,0,6
61815506,0,0,41
61830498,0,4,23
61842086,3,2,1361
61865206,1,0,10
61903538,3,0,324
61959788,0,0,260
61964618,0,0,15
62031836,5,1,57
62035068,3,0,59
62037416,1,0,9
62048560,0,0,14
62050404,1,0,9
62052128,0,0,64
62065184,0,0,44
62070302,0,1,17
62076846,0,0,25
62079856,1,0,10
62080490,0,0,29
62197046,0,1,167
62239456,0,0,796
62256746,1,0,4
62262954,0,0,28
62303268,0,0,25
62371622,1,1,15
62374770,4,1,79
62488770,1,0,12
62505930,2,4,21
62537918,0,0,431
62557982,0,1,23
62579570,1,1,28
62597294,2,0,54
62599884,0,1,45
62602238,1,0,13
62605842,0,0,8
62625230,2,0,48
62688614,8,0,129
62730664,0,3,212
62772878,0,0,31
62821894,3,1,111
62904456,0,0,22
62924088,0,0,51
62927100,1,0,163
62944624,0,0,23
62997550,1,2,102
63083140,0,0,36
63092156,1,0,59
63095536,0,0,9
63115904,0,0,7
63179322,1,0,4
63182028,1,0,17
63204362,1,0,7
63208464,0,0,24
63216534,1,0,73
63299544,0,0,35
63309772,1,0,50
63331264,2,0,20
63332314,1,0,171
63339136,0,0,547
63389308,1,0,20
63393044,1,0,9
63458244,3,2,44
63483562,4,1,493
63489626,1,0,30
63491468,0,0,8
63497530,2,0,15
63500398,2,0,20
63509160,0,0,46
63520970,0,0,34
63532024,5,29,1479
63572214,1,0,176
63583108,1,0,31
63634238,1,0,18
63718122,0,0,9
63726318,1,0,50
63802074,2,0,14
63820734,1,0,617
63827286,0,0,37
63839642,0,0,11
63841116,4,61,3180
63907018,7,0,112
63940210,34,4,2062
63966212,0,1,229
63980394,1,0,41
64033414,1,3,137
64083000,1,0,102
64104958,1,0,66
64132318,2,1,119
64143690,0,0,52
64191722,0,2,21
64194710,2,0,25
64196992,1,0,6
64268116,25,0,603
64295556,1,0,73
64438746,0,10,6891
64448868,0,0,17
64471320,7,4,213
64479242,1,0,4
64527694,0,0,56
64537158,0,0,75
64611890,1,0,33
64648936,2,0,34
64650180,0,0,2
64727000,1,0,21
